id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier
lev-hasharon,מועצה אזורית לב-השרון,Lev HaSharon,regional,center,jewish,found,yes,no,23672,מועצה אזורית
maale-yosef,מועצה אזורית מעלה-יוסף,Maale Yosef,regional,north,jewish,found,yes,no,11605,מועצה אזורית
mateh-yehuda,מועצה אזורית מטה-יהודה,Mateh Yehuda,regional,jerusalem,jewish,found,yes,no,57000,מועצה אזורית
megilot-yam-hamelah,מועצה אזורית מגילות-ים-המלח,Megilot Yam HaMelah,regional,judea-samaria,jewish,found,no,yes,1500,מועצה אזורית
merom-hagalil,מועצה אזורית מרום-הגליל,Merom HaGalil,regional,north,jewish,found,yes,no,15892,מועצה אזורית
mevoot-hermon,מועצה אזורית מבואות-החרמון,Mevoot Hermon,regional,north,jewish,found,no,yes,3000,מועצה אזורית
modiin-region,מועצה אזורית חבל-מודיעין,Modiin Region,regional,center,jewish,found,no,yes,30000,מועצה אזורית
nahal-soreq,מועצה אזורית נחל-שורק,Nahal Soreq,regional,center,jewish,found,no,yes,10189,מועצה אזורית
neve-midbar,נווה-מדבר,Neve Midbar,regional,south,bedouin,found,yes,no,13309,מועצה אזורית
sadot-dan,מועצה אזורית שדות-דן,Sadot Dan,regional,north,jewish,found,no,yes,15987,מועצה אזורית
sdot-negev,מועצה אזורית שדות-נגב,Sdot Negev,regional,south,jewish,found,yes,no,11062,מועצה אזורית
shaar-hanegev,מועצה אזורית שער-הנגב,Shaar HaNegev,regional,south,jewish,missing,no,no,9071,מועצה אזורית
shaar-hagalil,מועצה אזורית שער-הגליל,Shaar Hagalil,regional,north,jewish,found,yes,no,5000,מועצה אזורית
zvulun,מועצה אזורית זבולון,Zvulun,regional,haifa,jewish,found,yes,no,16000,מועצה אזורית
emek-lod,מועצה אזורית עמק לוד,Emek Lod,regional,center,jewish,missing,no,no,15987,מועצה אזורית
givat-ada,מועצה מקומית גבעת עדה,Giv'at Ada,local,haifa,jewish,missing,no,no,,מועצה מקומית
binyamina-old,מועצה מקומית בנימינה,Binyamina (old COA),local,haifa,jewish,missing,no,no,,מועצה מקומית
jatt,ג'ת,Jatt,local,center,arab,found,yes,no,10000,מועצה מקומית
miilya,מעיליא,Mi'ilya,local,north,arab,found,yes,no,,מועצה מקומית
yesod-hamaala,יסוד המעלה,Yesod HaMaala,local,north,jewish,found,yes,no,2000,מועצה מקומית
zarzir,זרזיר,Zarzir,local,haifa,arab,found,yes,no,13000,מועצה מקומית
zemer,זמר,Zemer,local,center,arab,found,yes,no,7360,מועצה מקומית
gush-halav,גוש חלב,Gush Halav,local,north,arab,found,yes,no,3154,מועצה מקומית
kafr-kanna,כפר כנא,Kafr Kanna,local,north,arab,found,yes,no,23705,עיירה
shaar-shomron,שער שומרון,Shaar Shomron,local,center,jewish,found,yes,no,,מועצה מקומית
zur-hadassa,צור הדסה,Zur Hadassa,local,jerusalem,jewish,found,yes,no,6000,מועצה מקומית
kawkab-abu-al-hija,כאוכב אבו אל-היג'א,Kawkab Abu al-Hija,local,north,arab,found,yes,no,3724,מועצה מקומית
bana,בענה,Bana,local,north,arab,found,yes,no,8536,מועצה מקומית
majd-al-krum,מג'ד אל-כרום,Majd al-Krum,local,north,arab,found,yes,no,15630,מועצה מקומית
shaarei-tikva,שערי תקווה,Shaarei Tikva,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית
neve-monosson,נווה מונוסון,Neve Monosson,local,tel-aviv,jewish,found,yes,no,,מועצה מקומית
maccabim-reut,מכבים-רעות,Maccabim-Reut,local,center,jewish,found,yes,no,,מועצה מקומית
